username,userid,location,created,tweet,retweets,favourite_count,followers,friends,polarity,subjectivity
TED Talks,15492359,"New York, NY",2019-07-23 21:19:07,"In April, journalist @carolecadwalla gave a vital TED Talk about how a barrage of misleading Facebook ads targeted... https://t.co/sDfuF2r5LR",1854,2531,11271184,664,0.1,0.4
Adam Klasfeld,60506242,"New York, NY",2019-07-23 22:01:22,"NEW: A neo-Nazi has been charged in SDNY with making threats to an unnamed Jewish organization in Manhattan. 

The... https://t.co/4lS0W8SAGt",577,747,95537,2901,0.06818181818181818,0.22727272727272727
Carole Cadwalladr,722242009,,2019-07-24 19:13:37,"Boris Johnson didn't just become PM today &amp; Mueller didn't just acknowledge Trump-Russia horror, Facebook was also... https://t.co/xnHxI5rLxr",2438,4618,311565,3006,0.0,0.0
World Music Awards,461688027,,2019-07-24 10:47:11,#EXO's #Sehun &amp; #Chanyeol tops the Worldwide iTunes chart For a 2nd incredible Day With Their #EXOSC Debut Mini Alb... https://t.co/TVMyXrm4zr,4113,5312,256114,47127,0.45,0.45
Judd Legum,15464697,"Washington, DC",2019-07-25 00:27:56,1. Facebook agreed to a $5 billion fine today -- in part because Facebook broke the rules in 2016 to give the Trump... https://t.co/sqeZ7XGcS8,382,682,357559,1239,0.4166666666666667,0.5
David Begnaud,42971403,New York City,2019-07-25 00:34:16,"Facebook, Twitter &amp; Instagram - all at the same time. [?]#puertorico https://t.co/KHpLrMbvwp",1717,7513,148590,2723,0.0,0.125
Elizabeth Warren,357606935,Massachusetts,2019-07-24 23:01:29,This is a joke. Facebook repeatedly violated users' privacy and this settlement imposes no real individual accounta... https://t.co/ZFPuHxEsX8,1169,4485,2852390,498,0.0,0.26666666666666666
Donie O'Sullivan,230787751,"New York, NY",2019-07-24 12:52:33,Worth remembering that Facebook threatened legal action against the Guardian ahead of @carolecadwalla's reporting.... https://t.co/AG1Va1JOb4,718,1733,18054,6843,0.19999999999999998,0.13333333333333333
Josh Hawley,2352629311,"Missouri, USA",2019-07-24 14:36:53,This is very disappointing. This settlement does nothing to change Facebook's creepy surveillance of its own users... https://t.co/xsOyRwhb57,274,590,71184,1114,-0.22666666666666668,0.9700000000000001
World Music Awards,461688027,,2019-07-23 13:57:40,#EXO's #Chanyeol records amazing vocals on his chart topping New Mini Album #WhatALife With #Sehun Despite Having J... https://t.co/0UucNspDYi,4718,7744,256114,47127,0.3681818181818182,0.6772727272727272
Joe Rogan,18208354,,2019-07-24 18:14:07,Facebook Knows More About You Than the CIA | WIRED https://t.co/TtNlnJVQpO,946,3020,5125087,3915,0.5,0.5
Nancy Pelosi,15764644,San Francisco,2019-07-24 20:59:00,.@RepAdamSchiff &amp; @RepJerryNadler will join me shortly to discuss Special Counsel Mueller's testimony about Russian... https://t.co/j6tBPViTHy,1601,6043,2726269,361,0.11904761904761905,0.2904761904761905
Jeremy Corbyn,117777690,UK,2019-07-23 18:33:00,"Join us this Thursday to demand a General Election so the people of this country can choose who leads us - not 100,... https://t.co/DfxDUHoVin",1762,4184,1998303,2453,0.05000000000000002,0.5
PragerU,41160276,Los Angeles,2019-07-24 19:03:12,"COMING SUNDAY:

This week's episode of The Candace Owens Show is all about tech censorship. 

@realcandaceo sits do... https://t.co/pX2Zk3UfR2",676,1983,281766,12664,0.0,0.0
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-24 12:35:16,"Google, Facebook, Pinterest -- INSIDERS ARE BLOWING THE WHISTLE -- together we're holding big tech accountable.  YO... https://t.co/4HGQeVwEI1",388,749,376133,762,0.0,0.1
World Music Awards,461688027,,2019-07-23 11:45:09,Korean Superstar Girl Group #TWICE slay in New York City before announcing their 5th Japanese Single Album... https://t.co/9p9w7OY4xD,2081,4823,256114,47127,0.021645021645021644,0.22294372294372292
YG FAMILY,408177579,"Seoul, Korea",2019-07-23 06:01:49,"#BLACKPINK 2018 TOUR [IN YOUR AREA] SEOUL DVD
Pre-order notice has been uploaded.

>[?] https://t.co/ErdlLSVTui... https://t.co/UAUTlaXClH",10049,36628,5418212,43,0.0,0.0
U.S. Institute of Peace,19784906,Washington D.C.,2019-07-23 13:45:00,Our conversation with  Prime Minister Imran Khan will start soon! Tweet your questions for the discussion with... https://t.co/Xv8vw9v0oC,287,895,114474,2849,0.0,0.0
Charlie Bilello,1413027896,"New York, NY",2019-07-23 13:06:51,"Market Cap per Employee...
Beyond Meat: $31 million
Netflix: $19 million
Facebook: $15 million
Google: $7.6 million... https://t.co/MJXl6tzDpQ",322,998,115607,98,0.0,0.0
World Music Awards,461688027,,2019-07-23 04:24:36,#EXO's #Sehun and #Chanyeol shoot to #1 on the Worldwide iTunes Album Chart with their #EXOSC debut Album... https://t.co/dEyj4pxE3p,5814,7833,256114,47127,0.0,0.0
OPPO India,2313218292,"Gurgaon, India",2019-07-23 10:57:55,"The #OPPOK3 is #DesinedToPerform with its Qualcomm Snapdragon 710 Processor , VOOC 3.0 [?][?]and 8GB RAM + 128 GB ROM.... https://t.co/efaVSzfRhs",1831,1741,417045,13,0.0,0.0
Owen Jones🌹,65045121,London,2019-07-23 11:52:08,Despondent about Boris Johnson becoming Prime Minister? Don't be. Take to the streets tomorrow instead &gt;... https://t.co/uqvskEl8Fl,473,1041,865585,5336,0.45,0.8500000000000001
Senate Judiciary,704320143824953344,,2019-07-23 13:30:14,"Today at 10:00am: Chairman @LindseyGrahamSC will lead a hearing titled, ""Oversight of the @FBI.""

Watch live: https://t.co/GTPNEEkfYk",181,642,67090,19,0.13636363636363635,0.5
