username,userid,created,text,retweets,followers,friends,polarity,subjectivity
ds,polarity,subjectivity
NCT DREAM,870188817537355776,,2019-07-23 09:00:00,"'WE GOT THAT'

[[ RENJUN X JISUNG X JENO ]] 

NCT DREAM [[ #BOOM ]] 
MV Release  2019 07 26 0AM (KST)
Music Release  20... https://t.co/QuNW61RKey",57070,91880,1458147,4,0.0,0.0
EXO,873115441303924736,,2019-07-22 09:05:17,"sehun&amp;canyeol #WHAT_A_DUO interview 

EXO-SC #sehun&amp; #canyeol The 1st Mini Album ['What a life']

Melon :https://t.co/nlEBerfVvk... https://t.co/15Acv3Rgzp",50940,82122,5868817,4,0.0,0.0
NCT,4811011050,,2019-07-23 09:02:34,"'WE GOT THAT'

[[ RENJUN X JISUNG X JENO ]] 

https://t.co/3gKIviJ9i8

NCT DREAM [[ #BOOM ]] 
MV Release  2019 07 26 0AM... https://t.co/iqU3WGmeDC",19836,38928,2477471,5,0.0,0.0
NCT DREAM,870188817537355776,,2019-07-23 15:54:12,"by nana 

NCT DREAM [[ #BOOM ]] 
MV Release  2019 07 26 0AM (KST)
Music Release  2019 07 26 6PM (KST)
Album Release ... https://t.co/5GDEPHQJov",30171,62448,1458147,4,0.0,0.0
EXO,873115441303924736,,2019-07-22 09:37:15,"EXO-SC sehun&amp;canyeol The 1st Mini Album ['What a life']

iTunes: https://t.co/I5FWMbQKhc
Apple Music:... https://t.co/eabYmQMl26",34932,53436,5868817,4,0.0,0.0
Apple Music,74580436,"Cupertino, CA",2019-07-22 18:57:03,"HBD @selenagomez.
RT if you're ready for new music.  
https://t.co/yj9AWVeFRG https://t.co/Pak7LhIr68",4231,8213,9486635,1551,0.16818181818181818,0.4772727272727273
billboard,9695312,Worldwide!,2019-07-22 20:20:05,.@NCTsmtown_127 take the #HighwayToHeaven in new music video https://t.co/TbJnZChacJ https://t.co/bmo1P2ZPBn,4313,9486,7534523,3163,0.13636363636363635,0.45454545454545453
5 Seconds Of Summer,264107729,"Sydney, Australia",2019-07-23 19:36:45,"We broke down the story behind ""Easier"" for @AppleMusic. Watch now: https://t.co/WFelu80zRO https://t.co/gNmN4w0Cal",2785,13470,12594625,30329,-0.2777777777777778,0.49444444444444446
TWICE,3129056526,,2019-07-23 15:36:49,"TWICE JAPAN 5TH SINGLE ALBUM &lt;Breakthrough&gt;
 
Released Online 
iTunes &amp; Apple Music (KOREA)
https://t.co/XTBLFeaqnd... https://t.co/ek3P0AldbY",2781,15498,3840032,43,-0.07142857142857142,0.21428571428571427
MYX Philippines,45461766,Philippines,2019-07-23 05:49:40,"We're celebrating #9YearsOfOneDirection today! Filo Directioners, be sure to watch MYX TAKE 5 today at 5pm as we fe... https://t.co/EzmWNozVVw",1132,3134,6447728,840,0.5,0.8888888888888888
NCT DREAM,870188817537355776,,2019-07-22 00:21:54,"WE BOOM! 

NCT DREAM [[ #BOOM ]] 
MV Release  2019 07 26 0AM (KST)
Music Release  2019 07 26 6PM (KST)
Album Release... https://t.co/NGbWYjJvCM",44598,82133,1458147,4,0.0,0.0
