username,userid,location,created,tweet,retweets,favourite_count,followers,friends,polarity,subjectivity
Pokémon Masters,1128758946506743808,,2019-07-24 04:10:00,"/
 Pokemon Masters preregistration has begun!
\ 

Follow the links below to preregister!
App Store:... https://t.co/BGv9bxhMDV",2241,5664,39740,4,0.0,0.0
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-24 12:12:18,"Senior Google Engineer: ""I just know how algorithms are. They don't write themselves. We write them to do what we w... https://t.co/X3j6gEDuGe",714,1239,376133,762,0.0,0.0
Michelle Malkin,15976697,USA,2019-07-24 11:29:20,Bravo @Project_Veritas &amp; @JamesOKeefeIII for forcing open the Big Tech whistleblower floodgates. Another Google ins... https://t.co/lx5XAWOzlV,1004,2349,2170413,17103,0.0,0.3
Paul Joseph Watson,18643437,London,2019-07-24 10:30:18,"""Standard Oil at the height of its power allegedly controlled 91% of oil refineries, Google right now controls 91%... https://t.co/mKcnbhgA3t",680,1762,985830,608,0.0619047619047619,0.2119047619047619
Complex,13049362,New York,2019-07-24 15:55:06,"Happy 50th Birthday to the woman who inspired Google Images  

The one and only @JLo  https://t.co/n4dKtm0ulJ",1038,4799,1758053,670,0.4,1.0
Allum Bokhari,1356030014,"Washington, DC",2019-07-24 11:44:41,A google senior software engineer goes on record to challenge his company's assurances that it isn't politically bi... https://t.co/jQCY3xoWrc,768,1593,42923,3859,0.0,0.1
Vice President Mike Pence,818910970567344128,"Washington, D.C.",2019-07-23 17:47:28,This conduct is disgraceful. President @realDonaldTrump and I will ALWAYS stand with the brave men &amp; women of our l... https://t.co/QTKgoy4NBy,4015,14849,7663722,13,0.8,1.0
Ann Coulter,196168350,Los Angeles/NYC,2019-07-23 16:20:38,"Google's Unacceptable Content: ""Christian."" https://t.co/lMFKIXAHdl",1781,3567,2154435,1093,0.0,0.0
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-24 18:15:47,.@DailyMail: Google whistleblower says the company IS politically biased and says bosses' claims that they are neut... https://t.co/PPcjBdyuzY,443,888,376133,762,0.0,0.1
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-24 11:07:29,"NEW: Current Sr. Google Engineer Goes Public on Camera: ""Are we going to just let the biggest tech companies decide... https://t.co/JwOsGKFiac",592,894,376133,762,0.04545454545454545,0.30707070707070705
Jack Posobiec 🇺🇸,592730371,"Washington, DC",2019-07-24 23:21:46,Google Puts Whistleblower Amplified by James O'Keefe on Administrative Leave  https://t.co/3xf2K6s485,294,286,513080,972,0.0,0.0
Paul Joseph Watson,18643437,London,2019-07-23 17:38:36,"Google-owned YouTube denied an ad for a veterans charity because it deemed ""Christian"" to be an ""unacceptable keywo... https://t.co/dAWO6l8Jw1",1228,2003,985830,608,0.0,0.0
Paul Joseph Watson,18643437,London,2019-07-24 11:26:07,"Google Insider: ""I look at search and I look at Google News and I see what it's doing and I see Google executives g... https://t.co/VgoPX67GC5",911,1983,985830,608,0.0,0.0
Jim Hoft,19211550,"St. Louis, Missouri",2019-07-23 18:31:00,Happening Tomorrow: O'Keefe Reveals ANOTHER Google Insider Will Go Public and Blow the Whistle on Political Bias... https://t.co/WkhkbPLdg6,328,438,165127,1346,0.016666666666666666,0.3888888888888889
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-24 11:43:15,"[?][?]Meet @coppola_gregory: a current Google engineer who is blowing the whistle on political bias.  

FYI -- Google t... https://t.co/rxP3losCI9",752,1210,376133,762,0.0,0.25
Michelle Malkin,15976697,USA,2019-07-23 14:53:43,"NEW: GOP State Rep. @SteveDraz , whose complaint led to MN State Campaign Finance board investigation of @IlhanMN ,... https://t.co/i0WuGKmuBv",1133,2409,2170413,17103,-0.08181818181818182,0.32727272727272727
Jordan,113364160,"New York, NY",2019-07-23 15:23:40,".@BernieSanders beating @ewarren among voters making less than 50k, voters without college degrees (crossover to Tr... https://t.co/PaEDZBZmkw",287,928,88793,483,-0.16666666666666666,0.06666666666666667
Project Veritas,850036892,"In a bunker, Greater NYC",2019-07-23 14:56:30,Tomorrow&gt;&gt; Another BRAVE @Google insider steps forward to talk about political bias.  Don't miss this one!... https://t.co/G6lS6aDDdc,402,878,376133,762,0.4,0.55
Congresswoman Ayanna Pressley,1080584229510172678,"Boston, MA",2019-07-23 12:13:33,"The unity, strength &amp; determination of the people of #PuertoRico exemplifies what it means to be American. These ti... https://t.co/hqR6sWktXQ",340,1381,161518,523,0.0,0.0
Dale Earnhardt Jr.,18132032,"Mooresville, NC",2019-07-23 12:45:57,"New @DaleJr Download - Martha Earnhardt: Mammaw's Story

 Ralph &amp; bootleggers
 Brenda Snapped 
 Raising Earn... https://t.co/5sgl913QjS",99,1335,2478927,562,0.13636363636363635,0.45454545454545453
Delhi Youth Congress,3286501752,"New Delhi , India",2019-07-23 13:30:00,"Join us to become a part of contributing to the values and ethos of the Congress party.

We are eagerly waiting for... https://t.co/N5pqfQSMSX",118,188,15783,138,0.0,0.0
